index,text
12,"быстро обучаюсь и адаптируюсь к новым сферам деятельности, способна много работать самостоятельно и в команде, не имею вредных привычек
● проведение переговоров с клиентами, консультирование по вопросам открытия расчетногосчета● открытие/закрытие расчетных счетов для юр.
лиц● расчетно-кассовое обслуживание юр.лиц:● формирование документов дня, печать основных выходных форм операционного дня● оформление чековых книжек по заявлениям клиентов, выдача денежных средств.
Прием выручки● осуществление бухгалтерских проводок по расчетам, кассовых операций, кассовых операцийклиентов.● проверка правильности оформления документов● проведение документов (платежные поручения, платежные требования, инкассовые поручения)● работа с картотекой 1 и 2● создание Клиентской базы
●организация рабочего процесса сотрудников● управлением результативностью отдела ● контроль за исполнения kpi офиса● составление отчетности по форме банка● ведение хозяйственных договоров● проведение переговоров с клиентами, консультирование по вопросам: открытия расчетногосчета, депозиты, эквайринг, карты кредитные дебетовые, вклады и т.д.)● открытие/закрытие расчетных счетов для юр.
лиц● расчетно-кассовое обслуживание юр.лиц:● формирование документов дня, печать основных выходных форм операционного дня● осуществление бухгалтерских проводок по расчетам, кассовых операций, кассовых операцийклиентов.● проверка правильности оформления документов● работа с картотекой 1 и 2● создание Клиентской базы
● электронный обмен №440-П|● формирование отчетов по резервам на возможные потери №611-П|● проведение переговоров с клиентами, консультирование по вопросам открытия расчетногосчета|● открытие/закрытие расчетных счетов юр.
лиц и индивидуальных предпринимателей|● предоставление необходимой информации органам осуществляющих контрольные функциинад банковской деятельностью по письменным запросам в соответствии с действующимзаконодательством|● заключение и сопровождение депозитных договоров с юридическими лицами ииндивидуальными предпринимателями|● выполнение плановых показателей|● расчетно-кассовое обслуживание юридический лиц|● создание Клиентской базы
Приемвыручки● осуществление бухгалтерских проводок по расчетам, кассовых операций, кассовых операцийклиентов.● проверка правильности оформления документов● проведение документов (платежные поручения, платежные требования, инкассовые поручения)● работа с картотекой 1 и 2● создание Клиентской базы
● создание, развитие Клиентской базы ● проведение переговоров, встречь с клиентами, консультирование по банковским продуктам(депозиты, расчетные счета, карты, кредиты, эквайринг)
● создание Клиентской базы ● проведение переговоров с клиентами, консультирование по вопросам открытия расчетногосчета● открытие/закрытие расчетных счетов для юр.
Прием выручки● осуществление бухгалтерских проводок по расчетам, кассовых операций, кассовых операцийклиентов.● проверка правильности оформления документов● проведение документов (платежные поручения, платежные требования, инкассовые поручения)● работа с картотекой 1 и 2
● прием, контроль и обработка первичной бухгалтерской документации● ведение отчетов по агентскому договору● учет расчетов с поставщиками● учет реализации● расчеты с подотчетными лицами● заключение договоров● сверка с городами"
13,"Обеспечение работы склада и логистики.
Сопровождение ключевых клиентов.
Личные продажи
Определение уровня развитя сотрудников отдела продаж.
Составление индивидуального и общего плана развития сотрудников отдела продаж.
Обучение согласно плана, поддержание уровня обученности (аудиторные тренинги, обучение на рабочем месте).
Вводное обучение продукту всех новых сотрудников компании.
Подготовка программы адаптации и ввода в должность сотрудников отдела продаж.
Взаимодействие со смежными отделами компании (производство, бухгалтерия, логистика, администрация, маркетинг), на предмет создания инструкций, бизнес-процессов, директив и других документов, связаных с деятельностью отдела продаж.
Составление скриптов, инструкций, кейсов для сотрудников отдела продаж.
Подготовка информации для сайта
Обучение на рабочем месте, разработка обучающих программ, проведение тренингов, пост-тренинговое сопровождение.
Подбор персонала, проведение индивидуальных и групповых собеседований
Обучение сотрудников отдела продаж (торговые представители, супервайзеры).
Обучение на рабочем месте, разработка и проведение тренингов, пост-тренинговое сопровождение.
Подбор персонала, проведение индивидуальных и групповых собеседований.
Разработка системы обучения, мотивации, оценки эффективности сотрудников.
Проведение тестирования, E-learning
Подбор, адаптация и обучение персонала.
Выполнение KPI.
Организация и координация работы торговой команды согласно требованиям представителей производителя.
Контроль дебиторской задолжности.
Помощь в работе с ключевыми клиентами.
Контроль и мотивация торговой команды на достижение поставленных задач"
14,"'- Организация и проведение культурно-массовых мероприятий на территории района и мероприятий согласно Перечню мероприятий, направленных на решение отдельных вопросов местного значения на территории района|- Осуществление мониторинга удовлетворения культурных потребностей, взаимодействуя с организациями различных форм собственности в целях развития культурного пространства|- Организация проведения районных мероприятий, а так же принятие участие в проведении городских мероприятий в сфере культуре, поддержание и развитие сложившихся культурных традиций|- Принятие участия в городских мероприятиях по популяризации объектов культурного наследия (памятников истории и культуры), расположенных на территории района|- Формирование плана проведения на территории района мероприятий, в том числе в связи с празднованием государственных праздников|- Работа в контакте с учреждениями культуры и молодежной политики, применение договоренной системы в области финансирования различных мероприятий, программ|- Участие в подготовке и проведении массовых, зрелищных мероприятий, выставок, фестивалей и иных мероприятий|- Организация мероприятий по приведению в надлежащее состояние бесхозных объектов культурного наследия, объектов городской скульптуры и иных памятных мест в соответствии с действующим законодательством"
15,"Готовность учиться новому, интересному|
Обслуживание служебного автомобиля.
Развозка сотрудников, заполнение сопровождающей документации
Обслуживание автомобиля, развозка продуктов, оформление сопровождающейся документации
обслуживание автомобиля, доставка грузов, оформление сопровождающей документации
Доставка груза, оформление сопровождающей документации, обслуживание служебного автомобиля
Обслуживание служебного автомобиля, оформление сопровождающей документации, добродушное отношение с клиентами"
16,"Основные мои обязанности были:- работа с первичной документацией|- подготовка коммерческих предложений|- заключение договоров|- консультирование клиентов по вопросам технического характера.
За 4 месяца я свою программу отработала на 100%, и мой руководитель предложил мне следующую ступень: ""менеджер по работе с новыми клиентами"", уже как отдельная единица.
Проработав весь следующий год, я получила бесценный опыт и укрепила технические навыки.
Я сформировала свою клиентскую базу и подняла свой личный план и оборот этой базы в 4 раза.
Далее я уже стала работать на развитие базы.
Коммуникабельность и способность заинтересовать слушателей используя индивидуальный и нестандартный подход к каждому клиенту, помогают мне проводить эффективные переговоры, презентации и продажи"
17,"'- Сбор и регистрация входящей/исходящей корреспонденции|- Оформление и отражение в 1С первичной документации|- Проверка корректности составления предоставленных контрагентамипервичных документов (актов, счетов-фактур)|- Расчёт арендной платы, коммунальных платежей|- Оформление заявок на оплату работ, услуг|- Сверка с контрагентами, запрос недостающих документов|- Анализ и контроль дебиторской и кредиторской задолженности|- Архивирование документов|- Формирование различных отчетов в базе 1С|- Проведение авансовых отчетов|- Своевременность и правильность начисления заработной платы, премий,больничных листов, декретных выплат, отпускных, командировочных, компенсаций при- Исчисление и удержание НДФЛ|- Формирование и выдача справок по заработной плате"
18,"Легкообучаемый, надежный, водительское удостоверение категорий B,C,D, хорошее знание города, навыки мелкого ремонта автомобилей
Водитель автобуса 3 класса регулярных городских пассажирских маршрутов
Водитель легкового автомобиля
Водитель 3 класса маршрутного микроавтобуса
Помощник машиниста электровоза
Водитель автобуса
Монтер пути 4 разряда логистического цеха
Водитель автобуса 3 класса"
19,"Ответственность, организованность, стремление к профессиональному росту, работоспособность, аналитическое мышление
Работа в сфере пассажирских перевозок.
Разработка мероприятий по предотвращению ДТП.
Разработка проектов приказов, указаний и других документов организации по вопросам обеспечения безопасности движения.
Работа с водительским составом, контроль транспортных средтв по вопросам обеспечения безопасности движения"
20,"Желание работать,развиваться,учится,работаспособность,ответственность,коммуникабельность,стрессоустойчивость,умение адаптироваться,толератность,лояльность,честность,умение работать в разных коллективах и условиях,логическогое мышление,умение выделять важное,умение анализировать и видить перспективу
Обслуживание покупателей,консультация товара,продажа товара,настройка оборудования,установка товара,оказание услуг
Консультирование покупателей по товару,продажа товара и аксессуаров к ним,оказание услуг
Продажа товара,техники и аксессуаров к ним,консультация товара,настройка оборудования,оказание услуг
Продажа товара и бытовой техники,настройка оборудования,консультация по товару,оказание услуг
Обслуживание и консультирование покупателей по товару,выкладка товара,настройка оборудования,подажа товара и услуг"
21,"Большой опыт работы.
Умение работать в программах: 1С,ЗУП,СБИС,Word,Excel,internet,электронная почта
Прием проведениие первичной документации.
Сверки с контрагентами.Проведение и обработка инвентаризации.
Выставление счетов и актов на аренду.
Формирование кассы, проведение реализации продукции.
Обработка авансовых отчетов.
Составление калькуляционных карт.
Работа со СБИСом."
22,"Целеустремленная, нацелена на результат, мыслю масштабно, цель- перевыполнение, все невозможное возможно
Распространение продукции компании, проведение презентаций для клиентов, анализ рынка, ведение переговоров, заключение договоров, работа с действующей клиентской базой, расширение клиентской базы, подписание контрактов, контроль за соблюдением и выполнением контрактных условий, консультирование клиентов по продуктам компании,ведение деловой переписки и документооборота,проведение сверки взаиморасчетов и инвентаря с контрагентами по итогам каждого месяца, контроль поставок"
23,"Ведение учёта исполнительной документации.Проверка, получаемой от заказчика технической документации и подготовка заключений о ее качестве.Составление дефектных ведомостей с дополнительными объёмами работ, отсутствующих в проектно-сметной документации.Проверка соответствия объёмов строительно-монтажных работ утверждённой проектно-сметной документации, рабочим чертежам, строительным нормам и правилам.Согласование внесений изменений в рабочую документацию, работа с авторским надзором и строительным контролем и т.д.Подготовка и сдача исполнительной документации заказчику: Подсчет объемов работ.
Замер объемов на объектеВзаимодействие с сотрудниками генподрядных организаций, тех.
Заказчика, службой строительного контроля| Ведение деловой переписки с контролирующими органами и надзорными организациями"
24,"Способность к самостоятельной работе,административный и организационный опыт,деловая активность,способность планировать задачи и отслеживать их выполнение,инициативность,чувство юмора,мобильность,работа в команде.клеентоориентированность
Настройка экструдора
научная работа
Ведение баз данных,оформление документов МХ-1,МХ-3,на ремонт литых деталей
Учет металлолома,узлов и деталей вагонов,образовавшихся в результате ремонта,разделки.Учет образования,вывоза,остатков,перемещения металлолома,узлов и деталей грузовых вагонов,образовавшихся в результате ремонта и разделке.Планирование и проведение проверок по сохранности номерных деталей в пунктах хранения с оформлением соответствующих документов и отчетов.Актуализация данных об образовании номерных деталей в результате производственной деятельности,по договорам купли -продажи и в результате проверок.Исключения вагонов,непригодных для дальнейшей эксплуатации.Натурный осмотр грузовых вагонов,подлежащих исключению,списанию и оформление соответствующих документов.Оценка технического состояния вагонов и участие в определение целесообразности их исключения.Реализация товарно-материальных ценностей(ТМЦ),образовавшихся в результате ремонта и разделки грузовых вагонов.Контроль отгрузки металлолома,узлов и деталей грузовых вагонов по заключенным договорам,подготовка отчетных материалов"
25,"ответсвенный, трудолюбивый, умение работать в коликтиве, пунктуальный, желание учится и развиватся
ремонт автотранспорта
Работа с ТСД, сборка, упаковка, ревизия, риемка, отгрузка товара, сопутствующая документация
техническое обслуживание автотранспорта, шиномонтаж, работа с ТСД
учет склада, приемка товара, ревизия, отпуск товара, подбор авто запчастей по электронным каталога
приемка товара, размещение, хранение, инвентаризация, подбор авто запчастей, заказ запчастей, 1с"
26,"Проведение вводного и первичного, повторного и внеплановых инструктажей, ведение журналов по инструктажам, разработка инструкций по охране труда, подготовка отчетов по охране труда и пожарной безопасности, организация обучения руководителей и персонала охране труда, пожарной безопасности| разработка планов проведения учений по пожарной безопасности.
Оказание услуг по трудоустройству, административная работа, кадровое делопроизводство"
27,"Осуществляю организацию бухгалтерского учета хозяйственно-финансовой деятельности и контроль за экономным использованием материальных, трудовых и финансовых ресурсов, сохранностью собственности предприятия.
Формирую в соответствии с законодательством о бухгалтерском учете учетную политику, исходя из структуры и особенностей деятельности предприятия, необходимости обеспечения его финансовой устойчивости.
Организовываю учет имущества, обязательств и хозяйственных операций, поступающих основных средств, товарно-материальных ценностей и денежных средств, исполнения смет расходов, выполнения работ (услуг), результатов финансово-хозяйственной деятельности предприятия, а также финансовых, расчетных и кредитных операций, своевременное отражение на счетах бухгалтерского учета операций, связанных с их движением.
Обеспечиваю законность, своевременность и правильность оформления документов, выполняемых работ (услуг), расчеты по заработной плате, правильное начисление и перечисление налогов и сборов в федеральный, региональный и местный бюджеты, страховых взносов в государственные внебюджетные социальные фонды, платежей в банковские учреждения, средства на финансирование капитальных вложений, погашение в установленные сроки задолженностей банкам по ссудам, а также отчислений средств на материальное стимулирование работников предприятия.
Все виды налогообложения
осуществляла работу с первичной документацией, которая заключается в приеме, контроле и обработки первичных документов (актов, товарных накладных, товарно-транспортных накладных, кассовых и кадровых документов, договоров с контрагентами и т.д.) pпринимала участие в расчетах с клиентами, поставщиками| pосуществляла фиксацию на счетах бухгалтерского учета операций, связанных с движением основных денежных средств, а также товарно-материальных ценностей (ТМЦ)| pпроводила финансовые операции по закупке, а также реализации продукции предприятия (составление приходных документов, сверка расчетов себестоимости продукции)|
законодательные и нормативные правовые акты, методические материалы, касающиеся производственной и хозяйственной деятельности предприятия, учреждения, организации| рыночные методы хозяйствования, закономерности и особенности развития экономики| трудовое, финансовое, налоговое и хозяйственное законодательство| порядок ведения бухгалтерского учета и составления отчетности| методы анализа хозяйственно-финансовой деятельности предприятия, учреждения, организации| правила проведения проверок и документальных ревизий| денежное обращение, кредит, порядок ценообразования| условия налогообложения юридических и физических лиц| правила организации и ведения бизнеса| экономику, организацию производства, труда и управления| порядок оформления финансовых операций и организацию документооборота| действующие формы учета и отчетности| правила и нормы охраны труда"
